SITE_ID;transect_length;transect_lon;transect_lat
1;4296;3749693;2150039
10;1664;3685802;2097284
100;2085;3720354;2142925
101;1914;3824065;1893916
102;1332;3746762;2177073
103;1684;3744780;2174906
104;1536;3680622;2088952
105;832;3687190;2114261
106;1412;3683752;2084793
107;1188;3653739;2103367
108;968;3699601;2094990
109;1477;3646284;2148944
11;2083;3686899;2102762
110;1916;3683540;2124817
111;621;3722365;2126401
112;831;3679635;2111541
113;1443;3715840;2106627
114;1026;3646523;2089660
115;1476;3701149;2140478
116;899;3609799;2128998
117;1493;3588661;2211502
118;1145;3642036;2096411
119;1223;3704552;2087121
12;2017;3690233;2109097
120;1808;3650180;2060289
121;1725;3654566;2054764
122;2281;3674663;2100463
123;1616;3662136;2114293
124;728;3518835;2002605
125;1283;3663677;2069411
126;859;3631686;2202326
127;1136;3648068;2137500
128;1426;3685938;2087362
129;1506;3675657;2089070
13;2298;3698106;2095530
130;922;3745420;2169489
131;1570;3524158;2066496
132;2139;3720357;2142975
133;853;3567487;2223132
134;726;3644016;2088997
135;722;3638856;2088597
136;785;3632093;2096183
137;611;3565749;2224133
138;2059;3717071;2150749
139;1140;3550563;2118284
14;1431;3540176;2010679
140;817;3626232;2194018
141;2369;3659183;2136938
142;1417;3749625;2133373
143;1680;3681829;2141940
144;2429;3664085;2063431
145;2980;3800603;1904414
146;3072;3810090;1888599
147;2393;3666018;2075772
148;1522;3667654;2075438
149;1230;3621720;2077331
15;1243;3649276;2173200
150;1003;3630659;2074158
151;2062;3626495;2116932
152;1700;3623114;2096198
153;1258;3683449;2172748
154;1286;3682853;2171944
155;2427;3689863;1873614
156;1012;3616865;2105399
157;2293;3630119;2075450
158;1064;3670175;2102548
159;1293;3660142;2077005
16;3230;3650785;2142084
160;1196;3683815;2126328
161;784;3652143;2074632
162;1897;3568359;2134865
163;1592;3703450;2147321
164;2113;3509357;2034243
165;1382;3672576;2171724
166;1658;3684537;2172073
167;1491;3569041;2208115
168;1400;3616971;2179861
169;1375;3711832;1889316
17;1235;3709674;2134746
170;1640;3678137;1864533
171;1524;3730740;1880528
172;1080;3673525;1867708
173;1670;3728984;1881295
174;1757;3688031;2093590
175;670;3679167;2092665
176;1643;3713542;2110926
177;2034;3719307;2108925
178;984;3669228;2084764
179;912;3668448;2083389
18;1946;3539917;2097930
180;2722;3798192;1899752
181;1891;3683068;2173231
182;1991;3814474;1892446
183;1373;3711818;1836274
184;828;3663493;2091083
185;1783;3731317;1843818
186;2224;3810635;1889464
187;1576;3816042;1884997
188;2399;3727356;1890902
189;2196;3651622;2168329
19;1719;3695831;2103723
190;775;3667612;2112953
191;721;3716521;2093300
192;1620;3654045;2072114
193;1605;3605145;2196693
194;988;3592578;2223911
195;1109;3755538;2130171
196;2002;3628150;2063191
197;1355;3621384;2177839
198;1282;3512567;2046172
199;649;3637278;2199441
2;4590;3752726;2154132
20;1503;3690799;2106795
200;1338;3536978;2107044
201;3300;3540894;2106846
202;1620;3714762;1876145
203;2075;3715888;1895402
204;1497;3580669;1814883
205;635;3553035;2145513
206;2152;3730626;1879530
207;358;3626107;2206991
208;1948;3718812;2148359
209;1820;3709606;2146710
21;840;3658256;2072113
210;2189;3745854;2145664
211;923;3633560;2182932
212;2502;3499305;2031036
213;1318;3643563;2062787
214;2113;3748583;2171903
215;1079;3589426;2120645
216;1492;3551089;2062095
217;604;3670747;2111936
218;1029;3554086;2061308
219;1113;3617239;2089551
22;727;3749922;2157750
220;1539;3698012;2159986
221;780;3665177;2106922
222;1967;3584236;1771778
223;1202;3703654;2099702
224;1142;3583559;2178784
225;2702;3747455;1874634
226;1940;3642758;2079314
23;1100;3752079;2155905
24;1351;3652597;2098075
25;2096;3503475;2019883
26;1017;3639148;2057368
27;2073;3716631;2098992
28;1714;3682023;2107424
29;2030;3680836;2094132
3;4908;3751339;2157341
30;963;3567493;2094476
31;2000;3704491;2086967
32;2133;3712750;2093118
33;846;3691484;2088854
34;791;3671631;2075030
35;1667;3642759;2079309
36;1452;3636817;2062114
37;933;3627779;2051363
38;1850;3591905;2045118
39;1858;3567618;2070081
4;4272;3659793;2057173
40;1676;3649189;2117339
41;1370;3546268;2090896
42;1682;3648149;2137653
43;1136;3605904;2117391
44;1420;3540114;2040857
45;799;3635684;2057533
46;1647;3599841;2046456
47;1419;3516138;2084852
48;1265;3525618;2065376
49;1928;3651330;2063553
5;1695;3729096;2168805
50;1367;3605475;2067084
51;1626;3576525;2067456
52;2476;3594583;2045415
53;1515;3681801;2102999
54;777;3745442;2169480
55;1426;3640122;2149065
56;1675;3647603;2167750
57;949;3616770;2179956
58;1092;3610573;2067808
59;1266;3749764;2147266
6;2863;3745635;2116440
60;1975;3803356;1896417
61;1856;3828584;1891595
62;281;3700785;2146231
63;1212;3709091;2152613
64;1283;3760533;2153080
65;871;3664714;2082900
66;1743;3550734;2157543
67;1919;3538296;1997908
68;2102;3672450;2076326
69;2030;3679291;2077960
7;2817;3654471;2055161
70;1662;3714145;2156115
71;2386;3703240;2149505
72;1186;3649982;2155688
73;1132;3512228;2085438
74;1379;3571780;1796427
75;1878;3661717;2087811
76;1513;3659884;2079695
77;1770;3727200;2127430
78;2232;3651218;2061775
79;1176;3646183;2103532
8;2553;3656036;2069312
80;2260;3656234;2099078
81;1186;3610236;2158166
82;2196;3502045;2030013
83;1794;3682548;2095550
84;1169;3726823;2147488
85;1468;3583767;2177643
86;1707;3584788;2208058
87;1939;3565340;2163875
88;1862;3695738;2094026
89;1731;3709993;2090478
9;1672;3700585;2146381
