SPECIES;SITE_ID;YEAR;COUNT;TOTAL_NM;SINDEX;join_status;SCHEME;EXTRAPOLATED_SINDEX
Aglais io;1;2019;1;0.80017;1.249734431;success;CBMS;NA
Aglais io;106;2019;5;0.73988;4.054711575;success;CBMS;NA
Aglais io;106;2020;2;0.83461;2.396328824;success;CBMS;NA
Aglais io;106;2021;1;0.96326;0;success;CBMS;NA
Aglais io;108;2018;4;0.71799;4.178331175;success;CBMS;NA
Aglais io;108;2020;2;0.84086;2.378517232;success;CBMS;NA
Aglais io;108;2021;3;0.88514;3.389294349;success;CBMS;NA
Aglais io;108;2022;1;0.66079;1.513340093;success;CBMS;NA
Aglais io;108;2023;1;0.67372;1.484296147;success;CBMS;NA
Aglais io;110;2019;16;0.99763;16.03801008;success;CBMS;NA
Aglais io;110;2020;10;0.72411;13.81005648;success;CBMS;NA
Aglais io;110;2021;27;0.95078;28.3977366;success;CBMS;NA
Aglais io;110;2022;5;0.85669;5.836416907;success;CBMS;NA
Aglais io;110;2023;5;0.95166;5.253977261;success;CBMS;NA
Aglais io;113;2018;9;0.79246;11.3570401;success;CBMS;NA
Aglais io;113;2019;10;0.93632;9.612098428;success;CBMS;NA
Aglais io;113;2020;9;0.57329;12.21022519;success;CBMS;NA
Aglais io;113;2021;3;0.83131;3.608762074;success;CBMS;NA
Aglais io;113;2022;2;0.87464;2.286655081;success;CBMS;NA
Aglais io;113;2023;11;0.84524;13.01405518;success;CBMS;NA
Aglais io;115;2018;6;0.5309;9.417969486;success;CBMS;NA
Aglais io;115;2019;14;0.69576;12.935495;success;CBMS;NA
Aglais io;115;2021;35;0.96847;36.13947773;success;CBMS;NA
Aglais io;115;2022;6;0.64243;9.339538938;success;CBMS;NA
Aglais io;115;2023;12;0.91795;13.07260744;success;CBMS;NA
Aglais io;127;2018;4;0.70843;5.646288271;success;CBMS;NA
Aglais io;127;2019;9;0.69927;7.150313899;success;CBMS;NA
Aglais io;127;2020;3;0.64704;3.090999011;success;CBMS;NA
Aglais io;127;2021;4;0.94574;4.229492249;success;CBMS;NA
Aglais io;127;2022;6;0.71425;7.000350018;success;CBMS;NA
Aglais io;127;2023;2;0.75509;2.648690885;success;CBMS;NA
Aglais io;128;2019;1;0.82938;1.205719935;success;CBMS;NA
Aglais io;128;2020;1;0.85926;1.1637921;success;CBMS;NA
Aglais io;128;2021;1;0.99033;1.009764422;success;CBMS;NA
Aglais io;131;2021;1;0.95715;1.044768323;success;CBMS;NA
Aglais io;132;2018;3;0.76424;3.925468439;success;CBMS;NA
Aglais io;132;2020;1;0.65373;1.529683508;success;CBMS;NA
Aglais io;132;2021;5;0.80175;6.236357967;success;CBMS;NA
Aglais io;138;2018;2;0.75244;2.658019244;success;CBMS;NA
Aglais io;138;2019;5;0.68447;5.843937645;success;CBMS;NA
Aglais io;138;2020;5;0.71349;5.606245357;success;CBMS;NA
Aglais io;138;2021;2;0.94442;2.11770187;success;CBMS;NA
Aglais io;139;2022;2;0.6664;3.00120048;success;CBMS;NA
Aglais io;139;2023;1;0.64842;1.542210296;success;CBMS;NA
Aglais io;144;2021;1;0.83481;1.197877361;success;CBMS;NA
Aglais io;148;2019;9;0.89305;8.958065058;success;CBMS;NA
Aglais io;158;2018;1;0.51926;1.92581751;success;CBMS;NA
Aglais io;158;2019;6;0.36747;5.442621166;success;CBMS;NA
Aglais io;158;2021;4;0.70891;5.642465193;success;CBMS;NA
Aglais io;158;2022;2;0.49683;4.025521808;success;CBMS;NA
Aglais io;158;2023;1;0.46082;2.170044703;success;CBMS;NA
Aglais io;160;2018;7;0.89179;6.728041355;success;CBMS;NA
Aglais io;160;2019;33;0.84392;34.36344677;success;CBMS;NA
Aglais io;160;2020;24;0.85485;26.90530502;success;CBMS;NA
Aglais io;160;2021;41;0.95974;42.71990331;success;CBMS;NA
Aglais io;160;2022;1;0.81877;1.221344211;success;CBMS;NA
Aglais io;160;2023;3;0.74433;4.030470356;success;CBMS;NA
Aglais io;162;2019;11;0.75775;11.87726823;success;CBMS;NA
Aglais io;162;2022;10;0.93159;10.73433592;success;CBMS;NA
Aglais io;162;2023;6;0.76505;7.842624665;success;CBMS;NA
Aglais io;174;2020;46;0.76149;52.52859525;success;CBMS;NA
Aglais io;174;2021;7;0.99676;7.022753722;success;CBMS;NA
Aglais io;174;2022;9;0.85812;10.48804363;success;CBMS;NA
Aglais io;174;2023;5;0.84473;5.919051058;success;CBMS;NA
Aglais io;175;2020;1;0.772;1.295336788;success;CBMS;NA
Aglais io;176;2020;14;0.81231;14.7726853;success;CBMS;NA
Aglais io;176;2021;2;0.99569;2.008657313;success;CBMS;NA
Aglais io;177;2020;5;0.92848;5.385145614;success;CBMS;NA
Aglais io;201;2021;1;0.48203;2.074559675;success;CBMS;NA
Aglais io;209;2022;1;0.63373;1.577959068;success;CBMS;NA
